mode,date,day_of_week,bound,min_delay,min_gap,location
Bus,2024-01-01,Monday,N,10,20,OTHER
Bus,2024-01-01,Monday,NA,20,40,OTHER
Bus,2024-01-01,Monday,NA,0,0,OTHER
Bus,2024-01-01,Monday,N,0,0,OTHER
Bus,2024-01-01,Monday,NA,0,0,OTHER
Bus,2024-01-01,Monday,N,8,16,OTHER
Bus,2024-01-01,Monday,S,20,20,OTHER
Bus,2024-01-01,Monday,N,21,42,OTHER
Bus,2024-01-01,Monday,W,10,20,OTHER
Bus,2024-01-01,Monday,W,0,0,OTHER
Bus,2024-01-01,Monday,E,30,60,OTHER
Bus,2024-01-01,Monday,W,0,0,OTHER
Bus,2024-01-01,Monday,NA,25,50,OTHER
Bus,2024-01-01,Monday,NA,0,0,OTHER
Bus,2024-01-01,Monday,N,30,60,OTHER
Bus,2024-01-01,Monday,E,0,0,OTHER
Bus,2024-01-01,Monday,W,18,38,DUNDAS
Bus,2024-01-01,Monday,S,20,40,OTHER
Bus,2024-01-01,Monday,S,20,110,DUNDAS
Bus,2024-01-01,Monday,W,23,46,OTHER
Bus,2024-01-01,Monday,W,12,24,OTHER
Bus,2024-01-01,Monday,N,21,42,OTHER
Bus,2024-01-01,Monday,E,14,28,OTHER
Bus,2024-01-01,Monday,NA,780,793,OTHER
Bus,2024-01-01,Monday,NA,20,40,OTHER
Bus,2024-01-01,Monday,S,8,16,OTHER
Bus,2024-01-01,Monday,S,30,60,OTHER
Bus,2024-01-01,Monday,NA,0,0,OTHER
Bus,2024-01-01,Monday,NA,30,60,OTHER
Bus,2024-01-01,Monday,W,15,30,OTHER
Bus,2024-01-01,Monday,N,10,20,OTHER
Bus,2024-01-01,Monday,N,10,20,OTHER
Bus,2024-01-01,Monday,N,24,48,OTHER
Bus,2024-01-01,Monday,W,11,15,OTHER
Bus,2024-01-01,Monday,NA,14,28,OTHER
Bus,2024-01-01,Monday,NA,25,50,OTHER
Bus,2024-01-01,Monday,S,55,110,OTHER
Bus,2024-01-01,Monday,W,30,60,OTHER
Bus,2024-01-01,Monday,NA,52,62,OTHER
Bus,2024-01-01,Monday,E,8,16,OTHER
Bus,2024-01-01,Monday,E,15,30,OTHER
Bus,2024-01-01,Monday,NA,10,20,OTHER
Bus,2024-01-01,Monday,N,22,44,OTHER
Bus,2024-01-01,Monday,W,0,0,OTHER
Bus,2024-01-01,Monday,S,10,20,OTHER
Bus,2024-01-01,Monday,W,15,35,OTHER
Bus,2024-01-01,Monday,W,6,34,OTHER
Bus,2024-01-01,Monday,W,7,15,OTHER
Bus,2024-01-01,Monday,E,10,20,OTHER
Bus,2024-01-01,Monday,NA,10,20,OTHER
Bus,2024-01-01,Monday,E,10,20,OTHER
Bus,2024-01-01,Monday,N,12,24,OTHER
Bus,2024-01-01,Monday,W,10,20,OTHER
Bus,2024-01-01,Monday,W,20,40,OTHER
Bus,2024-01-01,Monday,W,20,40,OTHER
Bus,2024-01-01,Monday,S,20,40,OTHER
Bus,2024-01-01,Monday,NA,12,24,OTHER
Bus,2024-01-01,Monday,NA,350,360,OTHER
Bus,2024-01-01,Monday,W,8,16,OTHER
Bus,2024-01-01,Monday,S,10,20,OTHER
Bus,2024-01-01,Monday,W,30,60,OTHER
Bus,2024-01-01,Monday,S,7,14,OTHER
Bus,2024-01-01,Monday,N,30,60,OTHER
Bus,2024-01-01,Monday,E,20,40,OTHER
Bus,2024-01-01,Monday,W,45,90,OTHER
Bus,2024-01-01,Monday,E,20,40,OTHER
Bus,2024-01-01,Monday,N,12,24,OTHER
Bus,2024-01-01,Monday,N,56,72,OTHER
Bus,2024-01-01,Monday,W,12,24,OTHER
Bus,2024-01-01,Monday,NA,0,0,OTHER
Bus,2024-01-01,Monday,E,5,10,OTHER
Bus,2024-01-01,Monday,N,28,53,OTHER
Bus,2024-01-01,Monday,E,141,148,OTHER
Bus,2024-01-01,Monday,NA,10,49,OTHER
Bus,2024-01-01,Monday,W,28,56,OTHER
Bus,2024-01-01,Monday,E,10,20,OTHER
Bus,2024-01-01,Monday,E,17,34,OTHER
Bus,2024-01-01,Monday,W,5,10,OTHER
Bus,2024-01-01,Monday,W,10,20,OTHER
Bus,2024-01-01,Monday,E,10,20,OTHER
Bus,2024-01-01,Monday,W,90,60,OTHER
Bus,2024-01-01,Monday,W,20,40,OTHER
Bus,2024-01-01,Monday,N,0,0,OTHER
Bus,2024-01-01,Monday,W,24,48,OTHER
Bus,2024-01-01,Monday,E,15,30,OTHER
Bus,2024-01-01,Monday,E,15,30,OTHER
Bus,2024-01-01,Monday,S,25,50,OTHER
Bus,2024-01-01,Monday,S,60,90,OTHER
Bus,2024-01-01,Monday,N,60,75,OTHER
Bus,2024-01-01,Monday,N,640,660,OTHER
Bus,2024-01-01,Monday,S,76,86,OTHER
Bus,2024-01-01,Monday,S,63,83,OTHER
Bus,2024-01-01,Monday,W,63,93,OTHER
Bus,2024-01-01,Monday,N,60,85,OTHER
Bus,2024-01-01,Monday,N,60,120,OTHER
Bus,2024-01-01,Monday,N,22,44,OTHER
Bus,2024-01-01,Monday,W,30,60,OTHER
Bus,2024-01-01,Monday,S,20,40,OTHER
Bus,2024-01-01,Monday,E,80,60,DUNDAS
Bus,2024-01-01,Monday,NA,24,48,OTHER
Bus,2024-01-02,Tuesday,N,0,0,OTHER
Bus,2024-01-02,Tuesday,N,30,60,OTHER
Bus,2024-01-02,Tuesday,N,7,16,OTHER
Bus,2024-01-02,Tuesday,S,8,15,OTHER
Bus,2024-01-02,Tuesday,NA,0,0,OTHER
Bus,2024-01-02,Tuesday,S,7,15,OTHER
Bus,2024-01-02,Tuesday,NA,7,15,OTHER
Bus,2024-01-02,Tuesday,NA,31,57,OTHER
Bus,2024-01-02,Tuesday,NA,0,0,OTHER
Bus,2024-01-02,Tuesday,S,20,30,OTHER
Bus,2024-01-02,Tuesday,NA,7,14,OTHER
Bus,2024-01-02,Tuesday,S,10,25,OTHER
Bus,2024-01-02,Tuesday,NA,8,16,OTHER
Bus,2024-01-02,Tuesday,NA,20,34,OTHER
Bus,2024-01-02,Tuesday,NA,9,20,OTHER
Bus,2024-01-02,Tuesday,W,19,42,OTHER
Bus,2024-01-02,Tuesday,NA,8,15,OTHER
Bus,2024-01-02,Tuesday,E,8,16,OTHER
Bus,2024-01-02,Tuesday,W,10,23,OTHER
