mode,date,day_of_week,bound,min_delay,min_gap,location,line
Streetcar,2024-01-01,Monday,W,10,20,DUNDAS,OTHER
Streetcar,2024-01-01,Monday,E,52,72,OTHER,OTHER
Streetcar,2024-01-01,Monday,N,0,0,OTHER,OTHER
Streetcar,2024-01-01,Monday,W,37,0,DUNDAS,OTHER
Streetcar,2024-01-01,Monday,E,78,93,OTHER,OTHER
Streetcar,2024-01-01,Monday,E,74,84,OTHER,501
Streetcar,2024-01-01,Monday,W,39,49,OTHER,501
Streetcar,2024-01-01,Monday,E,6,18,OTHER,OTHER
Streetcar,2024-01-01,Monday,E,13,28,OTHER,OTHER
Streetcar,2024-01-01,Monday,W,15,30,OTHER,501
Streetcar,2024-01-01,Monday,NA,10,40,OTHER,510
Streetcar,2024-01-01,Monday,NA,7,13,OTHER,501
Streetcar,2024-01-01,Monday,E,12,24,OTHER,OTHER
Streetcar,2024-01-01,Monday,E,10,20,OTHER,OTHER
Streetcar,2024-01-01,Monday,E,39,49,OTHER,501
Streetcar,2024-01-01,Monday,W,3,13,OTHER,501
Streetcar,2024-01-01,Monday,E,5,15,OTHER,OTHER
Streetcar,2024-01-01,Monday,E,5,17,OTHER,OTHER
Streetcar,2024-01-01,Monday,E,3,15,OTHER,501
Streetcar,2024-01-01,Monday,E,4,12,OTHER,OTHER
Streetcar,2024-01-01,Monday,W,4,14,OTHER,501
Streetcar,2024-01-01,Monday,NA,10,20,OTHER,OTHER
Streetcar,2024-01-01,Monday,W,10,20,OTHER,501
Streetcar,2024-01-01,Monday,E,10,20,OTHER,501
Streetcar,2024-01-01,Monday,W,7,17,OTHER,OTHER
Streetcar,2024-01-01,Monday,S,10,20,OTHER,OTHER
Streetcar,2024-01-01,Monday,E,10,20,DUNDAS,OTHER
Streetcar,2024-01-01,Monday,E,50,58,OTHER,501
Streetcar,2024-01-01,Monday,E,25,0,OTHER,OTHER
Streetcar,2024-01-01,Monday,E,8,18,OTHER,OTHER
Streetcar,2024-01-01,Monday,NA,10,20,OTHER,OTHER
Streetcar,2024-01-01,Monday,E,10,20,OTHER,OTHER
Streetcar,2024-01-01,Monday,W,4,14,OTHER,501
Streetcar,2024-01-01,Monday,E,8,16,OTHER,501
Streetcar,2024-01-01,Monday,S,7,14,OTHER,OTHER
Streetcar,2024-01-01,Monday,NA,5,17,OTHER,OTHER
Streetcar,2024-01-01,Monday,E,10,20,DUNDAS,OTHER
Streetcar,2024-01-01,Monday,W,6,12,OTHER,OTHER
Streetcar,2024-01-01,Monday,N,6,12,OTHER,501
Streetcar,2024-01-01,Monday,N,5,15,OTHER,501
Streetcar,2024-01-01,Monday,W,20,30,OTHER,501
Streetcar,2024-01-01,Monday,W,6,12,OTHER,501
Streetcar,2024-01-01,Monday,W,6,12,OTHER,501
Streetcar,2024-01-01,Monday,N,10,20,DUNDAS,OTHER
Streetcar,2024-01-01,Monday,NA,10,20,OTHER,OTHER
Streetcar,2024-01-01,Monday,NA,10,20,OTHER,OTHER
Streetcar,2024-01-01,Monday,W,3,7,OTHER,510
Streetcar,2024-01-01,Monday,W,9,18,OTHER,OTHER
Streetcar,2024-01-01,Monday,W,10,20,OTHER,OTHER
Streetcar,2024-01-01,Monday,NA,12,22,OTHER,510
Streetcar,2024-01-01,Monday,NA,7,17,OTHER,OTHER
Streetcar,2024-01-01,Monday,W,18,28,DUNDAS,OTHER
Streetcar,2024-01-01,Monday,NA,8,18,DUNDAS,OTHER
Streetcar,2024-01-01,Monday,E,10,20,OTHER,OTHER
Streetcar,2024-01-01,Monday,E,31,41,OTHER,OTHER
Streetcar,2024-01-01,Monday,W,7,17,OTHER,OTHER
Streetcar,2024-01-01,Monday,NA,0,0,OTHER,OTHER
Streetcar,2024-01-01,Monday,N,10,20,OTHER,510
Streetcar,2024-01-01,Monday,E,5,15,OTHER,OTHER
Streetcar,2024-01-01,Monday,W,10,20,OTHER,501
Streetcar,2024-01-01,Monday,E,10,20,OTHER,OTHER
Streetcar,2024-01-01,Monday,E,8,18,DUNDAS,OTHER
Streetcar,2024-01-01,Monday,E,17,0,OTHER,OTHER
Streetcar,2024-01-01,Monday,E,17,0,OTHER,OTHER
Streetcar,2024-01-02,Tuesday,E,26,41,OTHER,510
Streetcar,2024-01-02,Tuesday,W,4,12,OTHER,501
Streetcar,2024-01-02,Tuesday,NA,8,16,OTHER,501
Streetcar,2024-01-02,Tuesday,NA,0,0,OTHER,OTHER
Streetcar,2024-01-02,Tuesday,E,10,20,OTHER,OTHER
Streetcar,2024-01-02,Tuesday,E,10,20,OTHER,OTHER
Streetcar,2024-01-02,Tuesday,N,9,18,OTHER,OTHER
Streetcar,2024-01-02,Tuesday,NA,10,20,OTHER,510
Streetcar,2024-01-02,Tuesday,W,10,20,OTHER,OTHER
Streetcar,2024-01-02,Tuesday,E,10,20,OTHER,OTHER
Streetcar,2024-01-02,Tuesday,NA,10,20,OTHER,OTHER
Streetcar,2024-01-02,Tuesday,NA,10,20,OTHER,510
Streetcar,2024-01-02,Tuesday,NA,10,20,OTHER,510
Streetcar,2024-01-02,Tuesday,E,0,0,OTHER,OTHER
Streetcar,2024-01-02,Tuesday,E,10,20,OTHER,OTHER
