mode,date,day_of_week,bound,min_delay,min_gap,location
Subway,2024-01-01,Monday,N,0,0,OTHER
Subway,2024-01-01,Monday,N,0,0,DUNDAS
Subway,2024-01-01,Monday,N,4,10,DUNDAS
Subway,2024-01-01,Monday,E,10,16,OTHER
Subway,2024-01-01,Monday,N,4,10,OTHER
Subway,2024-01-01,Monday,N,3,9,OTHER
Subway,2024-01-01,Monday,S,0,0,OTHER
Subway,2024-01-01,Monday,E,7,13,OTHER
Subway,2024-01-01,Monday,S,0,0,OTHER
Subway,2024-01-01,Monday,N,13,19,OTHER
Subway,2024-01-01,Monday,S,24,30,OTHER
Subway,2024-01-01,Monday,N,12,18,OTHER
Subway,2024-01-01,Monday,N,3,9,OTHER
Subway,2024-01-01,Monday,S,0,0,OTHER
Subway,2024-01-01,Monday,NA,0,0,OTHER
Subway,2024-01-01,Monday,NA,0,0,OTHER
Subway,2024-01-01,Monday,NA,0,0,OTHER
Subway,2024-01-01,Monday,NA,0,0,OTHER
Subway,2024-01-01,Monday,NA,0,0,OTHER
Subway,2024-01-01,Monday,NA,0,0,OTHER
Subway,2024-01-01,Monday,N,12,24,OTHER
Subway,2024-01-01,Monday,N,6,12,OTHER
Subway,2024-01-01,Monday,N,6,12,OTHER
Subway,2024-01-01,Monday,S,0,0,OTHER
Subway,2024-01-01,Monday,S,7,13,OTHER
Subway,2024-01-01,Monday,S,6,12,OTHER
Subway,2024-01-01,Monday,S,10,16,OTHER
Subway,2024-01-01,Monday,N,6,12,OTHER
Subway,2024-01-01,Monday,N,0,0,OTHER
Subway,2024-01-01,Monday,E,3,7,OTHER
Subway,2024-01-01,Monday,N,0,0,OTHER
Subway,2024-01-01,Monday,S,0,0,OTHER
Subway,2024-01-01,Monday,NA,0,0,OTHER
Subway,2024-01-01,Monday,E,0,0,OTHER
Subway,2024-01-01,Monday,N,12,16,OTHER
Subway,2024-01-01,Monday,E,7,11,OTHER
Subway,2024-01-01,Monday,NA,0,0,OTHER
Subway,2024-01-01,Monday,N,4,8,OTHER
Subway,2024-01-01,Monday,NA,0,0,OTHER
Subway,2024-01-01,Monday,S,7,11,OTHER
Subway,2024-01-01,Monday,S,0,0,OTHER
Subway,2024-01-01,Monday,N,0,0,OTHER
Subway,2024-01-01,Monday,W,0,0,OTHER
Subway,2024-01-01,Monday,W,0,0,OTHER
Subway,2024-01-01,Monday,S,7,13,OTHER
Subway,2024-01-01,Monday,W,6,12,OTHER
Subway,2024-01-01,Monday,NA,0,0,OTHER
Subway,2024-01-01,Monday,NA,0,0,OTHER
Subway,2024-01-01,Monday,S,0,0,OTHER
Subway,2024-01-01,Monday,NA,0,0,OTHER
Subway,2024-01-01,Monday,S,0,0,OTHER
Subway,2024-01-01,Monday,S,0,0,OTHER
Subway,2024-01-01,Monday,S,8,14,OTHER
Subway,2024-01-01,Monday,S,0,0,DUNDAS
Subway,2024-01-01,Monday,N,0,0,OTHER
Subway,2024-01-01,Monday,NA,0,0,OTHER
Subway,2024-01-02,Tuesday,S,0,0,OTHER
Subway,2024-01-02,Tuesday,E,0,0,OTHER
Subway,2024-01-02,Tuesday,NA,0,0,OTHER
Subway,2024-01-02,Tuesday,NA,0,0,OTHER
Subway,2024-01-02,Tuesday,NA,0,0,OTHER
Subway,2024-01-02,Tuesday,S,6,9,OTHER
Subway,2024-01-02,Tuesday,N,0,0,OTHER
Subway,2024-01-02,Tuesday,N,0,0,OTHER
Subway,2024-01-02,Tuesday,N,0,0,OTHER
Subway,2024-01-02,Tuesday,N,6,9,OTHER
Subway,2024-01-02,Tuesday,N,3,6,DUNDAS
Subway,2024-01-02,Tuesday,W,9,12,OTHER
Subway,2024-01-02,Tuesday,NA,0,0,OTHER
Subway,2024-01-02,Tuesday,N,4,7,OTHER
Subway,2024-01-02,Tuesday,NA,0,0,OTHER
Subway,2024-01-02,Tuesday,NA,0,0,OTHER
Subway,2024-01-02,Tuesday,S,0,0,OTHER
Subway,2024-01-02,Tuesday,NA,0,0,OTHER
Subway,2024-01-02,Tuesday,N,5,10,OTHER
Subway,2024-01-02,Tuesday,S,3,8,OTHER
Subway,2024-01-02,Tuesday,N,3,8,OTHER
Subway,2024-01-02,Tuesday,E,0,0,OTHER
Subway,2024-01-02,Tuesday,S,8,13,OTHER
Subway,2024-01-02,Tuesday,NA,0,0,OTHER
Subway,2024-01-02,Tuesday,NA,0,0,OTHER
Subway,2024-01-02,Tuesday,S,21,26,OTHER
Subway,2024-01-02,Tuesday,E,3,6,OTHER
Subway,2024-01-02,Tuesday,S,8,13,OTHER
Subway,2024-01-02,Tuesday,W,3,6,OTHER
Subway,2024-01-02,Tuesday,N,6,11,OTHER
Subway,2024-01-02,Tuesday,E,0,0,OTHER
Subway,2024-01-02,Tuesday,W,0,0,OTHER
Subway,2024-01-02,Tuesday,S,0,0,OTHER
Subway,2024-01-02,Tuesday,NA,0,0,OTHER
Subway,2024-01-02,Tuesday,N,0,0,OTHER
Subway,2024-01-02,Tuesday,E,0,0,OTHER
Subway,2024-01-02,Tuesday,NA,0,0,DUNDAS
Subway,2024-01-02,Tuesday,S,10,13,OTHER
Subway,2024-01-02,Tuesday,S,16,20,OTHER
Subway,2024-01-02,Tuesday,W,16,20,OTHER
Subway,2024-01-02,Tuesday,N,24,27,OTHER
Subway,2024-01-02,Tuesday,E,24,29,OTHER
Subway,2024-01-02,Tuesday,S,20,23,OTHER
Subway,2024-01-02,Tuesday,NA,0,0,OTHER
Subway,2024-01-02,Tuesday,W,3,8,OTHER
Subway,2024-01-02,Tuesday,NA,0,0,OTHER
Subway,2024-01-02,Tuesday,N,0,0,OTHER
Subway,2024-01-02,Tuesday,S,9,14,OTHER
Subway,2024-01-02,Tuesday,W,0,0,OTHER
Subway,2024-01-02,Tuesday,NA,0,0,OTHER
Subway,2024-01-02,Tuesday,S,0,0,YORKDALE
Subway,2024-01-02,Tuesday,NA,0,0,DUNDAS
Subway,2024-01-02,Tuesday,NA,0,0,OTHER
Subway,2024-01-02,Tuesday,NA,0,0,OTHER
Subway,2024-01-02,Tuesday,NA,0,0,DUNDAS
Subway,2024-01-02,Tuesday,E,4,9,OTHER
Subway,2024-01-02,Tuesday,NA,0,0,OTHER
Subway,2024-01-02,Tuesday,NA,0,0,OTHER
Subway,2024-01-02,Tuesday,NA,0,0,OTHER
Subway,2024-01-02,Tuesday,W,5,10,OTHER
Subway,2024-01-02,Tuesday,NA,0,0,OTHER
Subway,2024-01-02,Tuesday,NA,0,0,OTHER
Subway,2024-01-02,Tuesday,N,0,0,OTHER
Subway,2024-01-02,Tuesday,W,11,16,OTHER
Subway,2024-01-02,Tuesday,W,0,0,OTHER
Subway,2024-01-02,Tuesday,E,0,0,OTHER
Subway,2024-01-02,Tuesday,W,0,0,OTHER
Subway,2024-01-02,Tuesday,W,4,11,OTHER
Subway,2024-01-03,Wednesday,NA,0,0,OTHER
Subway,2024-01-03,Wednesday,NA,0,0,OTHER
Subway,2024-01-03,Wednesday,NA,0,0,OTHER
Subway,2024-01-03,Wednesday,NA,0,0,OTHER
Subway,2024-01-03,Wednesday,S,3,6,DUNDAS
Subway,2024-01-03,Wednesday,NA,0,0,OTHER
Subway,2024-01-03,Wednesday,NA,0,0,OTHER
Subway,2024-01-03,Wednesday,N,0,0,OTHER
Subway,2024-01-03,Wednesday,S,0,0,DUNDAS
Subway,2024-01-03,Wednesday,NA,0,0,OTHER
Subway,2024-01-03,Wednesday,W,4,8,OTHER
Subway,2024-01-03,Wednesday,NA,0,0,OTHER
Subway,2024-01-03,Wednesday,E,0,0,OTHER
Subway,2024-01-03,Wednesday,S,0,0,OTHER
Subway,2024-01-03,Wednesday,N,5,10,OTHER
Subway,2024-01-03,Wednesday,N,0,0,OTHER
Subway,2024-01-03,Wednesday,NA,0,0,OTHER
Subway,2024-01-03,Wednesday,NA,0,0,OTHER
Subway,2024-01-03,Wednesday,W,9,13,OTHER
Subway,2024-01-03,Wednesday,NA,0,0,OTHER
Subway,2024-01-03,Wednesday,NA,0,0,OTHER
Subway,2024-01-03,Wednesday,E,0,0,OTHER
Subway,2024-01-03,Wednesday,N,5,10,OTHER
Subway,2024-01-03,Wednesday,N,0,0,OTHER
Subway,2024-01-03,Wednesday,W,0,0,OTHER
